sample,,temperature ©,humidity (%),feeding pressure (psi),grinding pressure (psi),addition speed (g/min),total weight (g),X10,X50,X90,SMD,VMD,span
Bud (Avachem YN0401),B092215,22.00,0.64,60.00,30.00,1.00,5.00,0.60,1.30,2.80,1.09,1.58,1.70
Bud (Chemo PR141073),B102815,24.40,0.37,60.00,30.00,1.00,3.00,0.59,1.27,2.78,1.06,1.57,1.73
Bud (Avachem YN0401),B041816A,25.20,0.20,60.00,30.00,3.00,3.00,0.57,1.29,2.74,1.06,1.51,1.68
Bud (Avachem YN0401),B041816B,24.70,0.20,60.00,30.00,2.00,4.00,0.57,1.26,2.64,1.04,1.51,1.64
Bud (Avachem YN0401),B041816C,25.60,0.20,60.00,20.00,1.00,3.00,0.60,1.34,2.76,1.10,1.55,1.61
Bud (Avachem YN0401),B041816D,25.30,0.20,80.00,20.00,1.00,3.00,0.62,1.41,2.90,1.15,1.63,1.62
Bud (Avachem YN0401),B041916A,24.50,0.21,80.00,15.00,3.00,3.00,0.56,1.63,3.94,1.19,1.98,2.08
Bud (Avachem YN0401),B041916B,24.80,0.21,80.00,15.00,2.00,4.00,0.56,1.68,3.94,1.20,2.01,2.01
Bud (NJ RD01427606),B092716C,28.30,0.20,60.00,30.00,1.00,3.00,0.54,1.06,1.80,0.91,1.13,1.18
Bud (NJ RD01427606),B092716D,28.70,0.20,80.00,20.00,1.00,3.00,0.75,1.39,2.43,1.24,1.51,1.21
Bud (NJ RD01427606),B092716E,22.80,0.30,80.00,15.00,2.00,4.00,0.83,1.81,3.72,1.52,2.09,1.60
Bud (NJ RD01427606),B032918A,28.00,0.21,80.00,15.00,2.00,2.00,0.83,1.77,3.51,1.50,2.00,1.51
Bud (NJ RD01427606),B032918B,27.00,0.22,80.00,13.00,2.00,2.00,0.85,1.87,3.74,1.56,2.13,1.54
Bud (NJ RD01427606),B032918C,27.00,0.22,80.00,13.00,2.00,14.00,0.86,2.05,4.41,1.65,2.40,1.73
Bud (NJ RD01427606),B032918D,27.00,0.22,80.00,15.00,2.00,14.00,0.85,1.97,4.13,1.61,2.27,1.66
